Food,City,Num
THISISAD3JSCODE0,HELLOWORLD0,103
THISISAD3JSCODE0,HELLOWORLD1,21
THISISAD3JSCODE0,HELLOWORLD2,515
THISISAD3JSCODE0,HELLOWORLD3,479
THISISAD3JSCODE0,HELLOWORLD4,1
THISISAD3JSCODE0,HELLOWORLD5,54
THISISAD3JSCODE0,HELLOWORLD6,131
THISISAD3JSCODE0,HELLOWORLD7,48
THISISAD3JSCODE0,HELLOWORLD8,16
THISISAD3JSCODE0,HELLOWORLD9,323
THISISAD3JSCODE0,HELLOWORLD10,712
THISISAD3JSCODE0,HELLOWORLD11,90
THISISAD3JSCODE0,HELLOWORLD12,129
THISISAD3JSCODE0,HELLOWORLD13,746
THISISAD3JSCODE0,HELLOWORLD14,588
THISISAD3JSCODE0,HELLOWORLD15,113
THISISAD3JSCODE0,HELLOWORLD16,338
THISISAD3JSCODE0,HELLOWORLD17,0
THISISAD3JSCODE0,HELLOWORLD18,657
THISISAD3JSCODE0,HELLOWORLD19,58
THISISAD3JSCODE0,HELLOWORLD20,485
THISISAD3JSCODE0,HELLOWORLD21,827
THISISAD3JSCODE0,HELLOWORLD22,209
THISISAD3JSCODE0,HELLOWORLD23,34
THISISAD3JSCODE0,HELLOWORLD24,480
THISISAD3JSCODE0,HELLOWORLD25,16
THISISAD3JSCODE0,HELLOWORLD26,66
THISISAD3JSCODE0,HELLOWORLD27,892
THISISAD3JSCODE0,HELLOWORLD28,0
THISISAD3JSCODE0,HELLOWORLD29,266
THISISAD3JSCODE1,HELLOWORLD0,25
THISISAD3JSCODE1,HELLOWORLD1,151
THISISAD3JSCODE1,HELLOWORLD2,147
THISISAD3JSCODE1,HELLOWORLD3,9
THISISAD3JSCODE1,HELLOWORLD4,548
THISISAD3JSCODE1,HELLOWORLD5,3
THISISAD3JSCODE1,HELLOWORLD6,110
THISISAD3JSCODE1,HELLOWORLD7,75
THISISAD3JSCODE1,HELLOWORLD8,87
THISISAD3JSCODE1,HELLOWORLD9,296
THISISAD3JSCODE1,HELLOWORLD10,0
THISISAD3JSCODE1,HELLOWORLD11,32
THISISAD3JSCODE1,HELLOWORLD12,0
THISISAD3JSCODE1,HELLOWORLD13,668
THISISAD3JSCODE1,HELLOWORLD14,233
THISISAD3JSCODE1,HELLOWORLD15,34
THISISAD3JSCODE1,HELLOWORLD16,678
THISISAD3JSCODE1,HELLOWORLD17,0
THISISAD3JSCODE1,HELLOWORLD18,93
THISISAD3JSCODE1,HELLOWORLD19,198
THISISAD3JSCODE1,HELLOWORLD20,3
THISISAD3JSCODE1,HELLOWORLD21,5
THISISAD3JSCODE1,HELLOWORLD22,399
THISISAD3JSCODE1,HELLOWORLD23,72
THISISAD3JSCODE1,HELLOWORLD24,82
THISISAD3JSCODE1,HELLOWORLD25,772
THISISAD3JSCODE1,HELLOWORLD26,82
THISISAD3JSCODE1,HELLOWORLD27,388
THISISAD3JSCODE1,HELLOWORLD28,73
THISISAD3JSCODE1,HELLOWORLD29,89
THISISAD3JSCODE2,HELLOWORLD0,762
THISISAD3JSCODE2,HELLOWORLD1,0
THISISAD3JSCODE2,HELLOWORLD2,774
THISISAD3JSCODE2,HELLOWORLD3,644
THISISAD3JSCODE2,HELLOWORLD4,1
THISISAD3JSCODE2,HELLOWORLD5,159
THISISAD3JSCODE2,HELLOWORLD6,56
THISISAD3JSCODE2,HELLOWORLD7,5
THISISAD3JSCODE2,HELLOWORLD8,143
THISISAD3JSCODE2,HELLOWORLD9,1
THISISAD3JSCODE2,HELLOWORLD10,6
THISISAD3JSCODE2,HELLOWORLD11,1
THISISAD3JSCODE2,HELLOWORLD12,28
THISISAD3JSCODE2,HELLOWORLD13,1
THISISAD3JSCODE2,HELLOWORLD14,886
THISISAD3JSCODE2,HELLOWORLD15,22
THISISAD3JSCODE2,HELLOWORLD16,83
THISISAD3JSCODE2,HELLOWORLD17,180
THISISAD3JSCODE2,HELLOWORLD18,29
THISISAD3JSCODE2,HELLOWORLD19,72
THISISAD3JSCODE2,HELLOWORLD20,501
THISISAD3JSCODE2,HELLOWORLD21,951
THISISAD3JSCODE2,HELLOWORLD22,4
THISISAD3JSCODE2,HELLOWORLD23,116
THISISAD3JSCODE2,HELLOWORLD24,3
THISISAD3JSCODE2,HELLOWORLD25,3
THISISAD3JSCODE2,HELLOWORLD26,37
THISISAD3JSCODE2,HELLOWORLD27,0
THISISAD3JSCODE2,HELLOWORLD28,38
THISISAD3JSCODE2,HELLOWORLD29,222
THISISAD3JSCODE3,HELLOWORLD0,0
THISISAD3JSCODE3,HELLOWORLD1,556
THISISAD3JSCODE3,HELLOWORLD2,80
THISISAD3JSCODE3,HELLOWORLD3,69
THISISAD3JSCODE3,HELLOWORLD4,861
THISISAD3JSCODE3,HELLOWORLD5,4
THISISAD3JSCODE3,HELLOWORLD6,37
THISISAD3JSCODE3,HELLOWORLD7,267
THISISAD3JSCODE3,HELLOWORLD8,78
THISISAD3JSCODE3,HELLOWORLD9,816
